"_source/data/positionData","_source/data/speedData","_source/data/unit_speedData","_source/data/temperatureData","_source/data/lightData","_source/data/recorded_at","_source/data/unit_temperatureData","_source/data/unit_lightData","_source/data/eventType","_source/data/action","_source/data/eventID"
"[11.83688, 107.27339]",55.5,"KMH",5.2,0,2023-01-01 17:22:30,"CEL","LUX","ObjectEvent","OBSERVE","sF2kIdqy3Z8r_waAn6Po_"
"[11.79438, 107.19719]",39.86,"KMH",1.6,0,2023-01-01 17:36:00,"CEL","LUX","ObjectEvent","OBSERVE","EiLtsBQMLu3esmqeB2XKa"
"[11.73478, 107.14746]",68.31,"KMH",3.56,0,2023-01-01 17:49:30,"CEL","LUX","ObjectEvent","OBSERVE","3EGk26lGP20mQZq3kH56O"
"[11.69556, 107.08901]",30.9,"KMH",3.41,0,2023-01-01 18:03:00,"CEL","LUX","ObjectEvent","OBSERVE","j9eIqtzkB0qGN5mRjRPeo"
"[11.64351, 107.04603]",55.73,"KMH",0.24,0,2023-01-01 18:16:30,"CEL","LUX","ObjectEvent","OBSERVE","wIEP4yEBoSSflIyhP0n9B"
"[11.6003, 106.99513]",31.29,"KMH",0.69,0,2023-01-01 18:30:00,"CEL","LUX","ObjectEvent","OBSERVE","MEyGe-NWmT2KWrOshRl1j"
"[11.5492, 106.92901]",24.01,"KMH",4.39,0,2023-01-01 18:43:30,"CEL","LUX","ObjectEvent","OBSERVE","fXsf6AqXvxYhHGIGyZkiZ"
"[11.48867, 106.88478]",26.19,"KMH",3.65,0,2023-01-01 18:57:00,"CEL","LUX","ObjectEvent","OBSERVE","l4-eRQTie6GSUBmQ9WypA"
"[11.40074, 106.83871]",29.73,"KMH",5.84,0,2023-01-01 19:10:30,"CEL","LUX","ObjectEvent","OBSERVE","p1CrdxenWvIXy8FIGU4lk"
"[11.32845, 106.81931]",61.88,"KMH",5.14,0,2023-01-01 19:24:00,"CEL","LUX","ObjectEvent","OBSERVE","5cL80RrgKBDW1dRA1TTK9"
"[11.26414, 106.76964]",43.4,"KMH",2.42,0,2023-01-01 19:37:30,"CEL","LUX","ObjectEvent","OBSERVE","kemR0qfqAcvpZ2DOF0qvn"
"[11.16775, 106.73462]",47.23,"KMH",2.42,0,2023-01-01 19:51:00,"CEL","LUX","ObjectEvent","OBSERVE","9c6oZPoHFuWtZQFPWiecb"
"[11.06738, 106.78279]",46.4,"KMH",3.56,0,2023-01-01 20:04:30,"CEL","LUX","ObjectEvent","OBSERVE","mr_TJ5HCUhzZhHa2OUhBf"
"[10.98992, 106.77191]",49.35,"KMH",4.92,0,2023-01-01 20:18:00,"CEL","LUX","ObjectEvent","OBSERVE","RlYMLEHb7O_Ub8AEnmhIg"
"[10.93927, 106.80689]",20.89,"KMH",0.41,0,2023-01-01 20:31:30,"CEL","LUX","ObjectEvent","OBSERVE","igmNnot56jk8T0RSKHZ44"
"[10.8618, 106.91927]",48.62,"KMH",5.17,0,2023-01-01 20:45:00,"CEL","LUX","ObjectEvent","OBSERVE","6XBViI_s7yl4OTgLvxBhV"
"[10.90104, 106.85013]",63.33,"KMH",1.7,0,2023-01-01 20:58:30,"CEL","LUX","ObjectEvent","OBSERVE","4bgHv_Pdd5c1EINM5kXCf"
"[10.77847, 106.95701]",61.84,"KMH",0.13,0,2023-01-01 21:12:00,"CEL","LUX","ObjectEvent","OBSERVE","1wGrDoIjdobBvQcLvGnF8"
"[10.69547, 107.0148]",27.26,"KMH",5.46,0,2023-01-01 21:25:30,"CEL","LUX","ObjectEvent","OBSERVE","AcxzAYoR3aD8bUJjHqNEw"
"[10.5968, 107.05524]",24.77,"KMH",1.41,0,2023-01-01 21:39:00,"CEL","LUX","ObjectEvent","OBSERVE","z6a5ST1boQKvDSf-OyE0_"
"[10.52441, 107.08377]",26.72,"KMH",3.7,0,2023-01-01 21:52:30,"CEL","LUX","ObjectEvent","OBSERVE","lxEO25RiTzeSkGVVHn5Sm"
"[10.4891, 107.15876]",26.15,"KMH",1.36,0,2023-01-01 22:06:00,"CEL","LUX","ObjectEvent","OBSERVE","HxGjemaMVz5JERMAciRQ4"
"[10.43143, 107.15827]",26.34,"KMH",4.59,0,2023-01-01 22:19:30,"CEL","LUX","ObjectEvent","OBSERVE","BcmN6R7CpgRdQ6X2ZJTg3"
"[10.39718, 107.11183]",44.41,"KMH",4.94,0,2023-01-01 22:33:00,"CEL","LUX","ObjectEvent","OBSERVE","G9g8A4aB3IF4gGWO28QVd"
"[10.3896, 107.0845]",0,"KMH",5.6,180,2023-01-01 22:46:30,"CEL","LUX","ObjectEvent","OBSERVE","V2MY3bW2JsWEuqq1XdIq_"
"[12.67214, 108.06884]",0,"KMH",5.5,200,2023-01-02 14:00:00,"CEL","LUX","ObjectEvent","OBSERVE","5RFHasv9sYPh9uBjoXKdN"
"[12.65841, 108.03907]",60.74,"KMH",1.68,0,2023-01-02 14:13:30,"CEL","LUX","ObjectEvent","OBSERVE","Nid3DWjJQk5d1qySHVpk-"
"[12.61997, 107.95092]",28.68,"KMH",4.1,0,2023-01-02 14:27:00,"CEL","LUX","ObjectEvent","OBSERVE","wjdusm3uZ9cbaFB9k6-Tu"
"[12.58494, 107.87112]",51.65,"KMH",0.07,0,2023-01-02 14:40:30,"CEL","LUX","ObjectEvent","OBSERVE","EBj8oyvmkS6KHlkv1ZcFo"
"[12.54409, 107.79773]",56.09,"KMH",1.98,0,2023-01-02 14:54:00,"CEL","LUX","ObjectEvent","OBSERVE","KezfEXYUxWcVoafiQxxfK"
"[12.49071, 107.72369]",28.58,"KMH",2.92,0,2023-01-02 15:07:30,"CEL","LUX","ObjectEvent","OBSERVE","WNehXKLdpLdclNA3HLXGJ"
"[12.44303, 107.63683]",45.63,"KMH",1.09,0,2023-01-02 15:21:00,"CEL","LUX","ObjectEvent","OBSERVE","Tw0r8Yzk0GuBu4VOwcAnP"
"[12.35217, 107.56946]",52.31,"KMH",3.33,0,2023-01-02 15:34:30,"CEL","LUX","ObjectEvent","OBSERVE","c1Lcs1v4k2y5LBg4w4oIH"
"[12.28166, 107.45917]",61.83,"KMH",1.56,0,2023-01-02 15:48:00,"CEL","LUX","ObjectEvent","OBSERVE","TubvBep-UR5vOjTi7zRPi"
"[12.20514, 107.45171]",34.85,"KMH",5.06,0,2023-01-02 16:01:30,"CEL","LUX","ObjectEvent","OBSERVE","yIYQksM_IkCf3jPeRokNn"
"[12.1149, 107.47546]",33.59,"KMH",3.03,0,2023-01-02 16:15:00,"CEL","LUX","ObjectEvent","OBSERVE","8IH2BxWG7_cv9I7H9QlhG"
"[12.02528, 107.49632]",26.05,"KMH",3.57,0,2023-01-02 16:28:30,"CEL","LUX","ObjectEvent","OBSERVE","vbkCs4_-AhJ7H9Ja5pOYT"
"[11.94746, 107.46003]",61.74,"KMH",1.4,0,2023-01-02 16:42:00,"CEL","LUX","ObjectEvent","OBSERVE","l1qCICpUxh9yahs_ge7X6"
"[11.91148, 107.38259]",24.03,"KMH",1.99,0,2023-01-02 16:55:30,"CEL","LUX","ObjectEvent","OBSERVE","2OxmjbfGC_End2d-vM3mo"
"[11.8872, 107.32123]",52.11,"KMH",2.54,0,2023-01-02 17:09:00,"CEL","LUX","ObjectEvent","OBSERVE","fl7tWSB5JPEK5YosFLeqe"
"[11.83688, 107.27339]",24.06,"KMH",5.79,0,2023-01-02 17:22:30,"CEL","LUX","ObjectEvent","OBSERVE","FIgYcZysMpY2dW7u5j1PA"
"[11.79438, 107.19719]",30.25,"KMH",5.2,0,2023-01-02 17:36:00,"CEL","LUX","ObjectEvent","OBSERVE","4v1ZnDDjRjUPE3b4cjtpd"
"[11.73478, 107.14746]",58.18,"KMH",4.92,0,2023-01-02 17:49:30,"CEL","LUX","ObjectEvent","OBSERVE","7cQKWSMM5eZpeI1XHkO-J"
"[11.69556, 107.08901]",21.09,"KMH",1.9,0,2023-01-02 18:03:00,"CEL","LUX","ObjectEvent","OBSERVE","IgJ31tiik7BanMmXDYlam"
"[11.64351, 107.04603]",61.58,"KMH",1.35,0,2023-01-02 18:16:30,"CEL","LUX","ObjectEvent","OBSERVE","nFLbc0Vwr3Um9Xg-Xl-NI"
"[11.6003, 106.99513]",63.24,"KMH",0.16,0,2023-01-02 18:30:00,"CEL","LUX","ObjectEvent","OBSERVE","yPKnBVGFoROoRmqwT593t"
"[11.5492, 106.92901]",33.34,"KMH",3.13,0,2023-01-02 18:43:30,"CEL","LUX","ObjectEvent","OBSERVE","da1_nmweHQIqg_DVUN6_h"
"[11.48867, 106.88478]",53.15,"KMH",3.6,0,2023-01-02 18:57:00,"CEL","LUX","ObjectEvent","OBSERVE","a-nP_HWKYeQfyjVDPDeg1"
"[11.40074, 106.83871]",41.21,"KMH",0.38,0,2023-01-02 19:10:30,"CEL","LUX","ObjectEvent","OBSERVE","U6DmoOmIJ2i3qwJlQNDwQ"
"[11.32845, 106.81931]",37.65,"KMH",0.37,0,2023-01-02 19:24:00,"CEL","LUX","ObjectEvent","OBSERVE","X9NE01bd4TfVQGMSwpZ-S"
"[11.26414, 106.76964]",38.89,"KMH",3.61,0,2023-01-02 19:37:30,"CEL","LUX","ObjectEvent","OBSERVE","vuvb0OBZvWwU4sfsL20BE"
"[11.16775, 106.73462]",47.63,"KMH",5.86,0,2023-01-02 19:51:00,"CEL","LUX","ObjectEvent","OBSERVE","HPN3ZY1vS1hu-wKHigzhC"
"[11.06738, 106.78279]",68.49,"KMH",0.98,0,2023-01-02 20:04:30,"CEL","LUX","ObjectEvent","OBSERVE","QLRlgcTMjQudepaigCLTd"
"[10.98992, 106.77191]",37.13,"KMH",0.22,0,2023-01-02 20:18:00,"CEL","LUX","ObjectEvent","OBSERVE","jRENqW1U4o0-lfK7RHs4c"
"[10.93927, 106.80689]",36.17,"KMH",3.7,0,2023-01-02 20:31:30,"CEL","LUX","ObjectEvent","OBSERVE","K1eDFsA2lec_FqMijVHMd"
"[10.8618, 106.91927]",34.77,"KMH",1.76,0,2023-01-02 20:45:00,"CEL","LUX","ObjectEvent","OBSERVE","RgBmvB3ZtZrppEKh2HqD0"
"[10.90104, 106.85013]",21.11,"KMH",2.28,0,2023-01-02 20:58:30,"CEL","LUX","ObjectEvent","OBSERVE","lWtRpNEpDn3cSnVh2W9R0"
"[10.77847, 106.95701]",36.9,"KMH",1.71,0,2023-01-02 21:12:00,"CEL","LUX","ObjectEvent","OBSERVE","h_shL-uByRKV-qb_vsj28"
"[10.69547, 107.0148]",69.83,"KMH",4.64,0,2023-01-02 21:25:30,"CEL","LUX","ObjectEvent","OBSERVE","JRzQSwHsxoOkvdNw_5Dnz"
"[10.5968, 107.05524]",54.9,"KMH",1.11,0,2023-01-02 21:39:00,"CEL","LUX","ObjectEvent","OBSERVE","Edj8QS29bYkX4PHWokvQR"
"[10.52441, 107.08377]",51.21,"KMH",3.99,0,2023-01-02 21:52:30,"CEL","LUX","ObjectEvent","OBSERVE","hDq76-dni0Xulr8x9xwYh"
"[10.4891, 107.15876]",41.88,"KMH",1.81,0,2023-01-02 22:06:00,"CEL","LUX","ObjectEvent","OBSERVE","NDv9up-97TVfJK1Qs7gn7"
"[10.43143, 107.15827]",21.25,"KMH",3.96,0,2023-01-02 22:19:30,"CEL","LUX","ObjectEvent","OBSERVE","i61x1WnsKnea2u6JmIPHm"
"[10.39718, 107.11183]",51.7,"KMH",0.91,0,2023-01-02 22:33:00,"CEL","LUX","ObjectEvent","OBSERVE","4kSWdJocwDhrX2uD1H7YD"
"[10.3896, 107.0845]",0,"KMH",5.6,180,2023-01-02 22:46:30,"CEL","LUX","ObjectEvent","OBSERVE","SozGMcZVr7AKYvrowCU6i"
"[12.67214, 108.06884]",0,"KMH",5.5,200,2023-01-03 14:00:00,"CEL","LUX","ObjectEvent","OBSERVE","V9okYfP8NVhCBk3OxToS3"
"[12.65841, 108.03907]",68.35,"KMH",4.81,0,2023-01-03 14:13:30,"CEL","LUX","ObjectEvent","OBSERVE","3vkMC8I20X5dXuGraFX33"
"[12.61997, 107.95092]",53.81,"KMH",1.98,0,2023-01-03 14:27:00,"CEL","LUX","ObjectEvent","OBSERVE","HlGadklDUMwNDJJ16j8fn"
"[12.58494, 107.87112]",58.54,"KMH",2.68,0,2023-01-03 14:40:30,"CEL","LUX","ObjectEvent","OBSERVE","uWB51xu0l1a7KMJYfY1JI"
"[12.54409, 107.79773]",57.18,"KMH",3.95,0,2023-01-03 14:54:00,"CEL","LUX","ObjectEvent","OBSERVE","jq51jGXBRWpw9i9AALR7N"
"[12.49071, 107.72369]",37.46,"KMH",1.73,0,2023-01-03 15:07:30,"CEL","LUX","ObjectEvent","OBSERVE","p2bS-SeT4_LJVLW7iSKiw"
"[12.44303, 107.63683]",27.92,"KMH",3.64,0,2023-01-03 15:21:00,"CEL","LUX","ObjectEvent","OBSERVE","fDthOjvCJmDExIYesUBVs"
"[12.35217, 107.56946]",48.75,"KMH",1.73,0,2023-01-03 15:34:30,"CEL","LUX","ObjectEvent","OBSERVE","UGOYTq5clHodDzUyYyGlc"
"[12.28166, 107.45917]",52.77,"KMH",1.27,0,2023-01-03 15:48:00,"CEL","LUX","ObjectEvent","OBSERVE","9zkgG0Q578xFko5_epyqL"
"[12.20514, 107.45171]",41.47,"KMH",0.02,0,2023-01-03 16:01:30,"CEL","LUX","ObjectEvent","OBSERVE","fAdWcCwfTvddnhF7lWrPm"
"[12.1149, 107.47546]",48.27,"KMH",4,0,2023-01-03 16:15:00,"CEL","LUX","ObjectEvent","OBSERVE","3piOCeVgJtmOinB862m89"
"[12.02528, 107.49632]",26.35,"KMH",1.61,0,2023-01-03 16:28:30,"CEL","LUX","ObjectEvent","OBSERVE","v2wndtbZFqTnN5ucsyluM"
"[11.94746, 107.46003]",65.09,"KMH",1.14,0,2023-01-03 16:42:00,"CEL","LUX","ObjectEvent","OBSERVE","cO7N3EjWwKmv9aC_pb7Xp"
"[11.91148, 107.38259]",25.32,"KMH",0.35,0,2023-01-03 16:55:30,"CEL","LUX","ObjectEvent","OBSERVE","1UG3fR9DoZFHzKLvG0kZl"
"[11.8872, 107.32123]",30.97,"KMH",0.59,0,2023-01-03 17:09:00,"CEL","LUX","ObjectEvent","OBSERVE","wvfMYSUcJ-Pwo1Y-V5RpI"
"[11.83688, 107.27339]",35.81,"KMH",0.17,0,2023-01-03 17:22:30,"CEL","LUX","ObjectEvent","OBSERVE","ydDShxPjHpQhFC0uC9xMB"
"[11.79438, 107.19719]",37.91,"KMH",3.6,0,2023-01-03 17:36:00,"CEL","LUX","ObjectEvent","OBSERVE","sdXJVMm0Y1PDF_szY3lUK"
"[11.73478, 107.14746]",52.9,"KMH",2.19,0,2023-01-03 17:49:30,"CEL","LUX","ObjectEvent","OBSERVE","2Uyg8__rpw7c0fNAgSStH"
"[11.69556, 107.08901]",32.54,"KMH",1.23,0,2023-01-03 18:03:00,"CEL","LUX","ObjectEvent","OBSERVE","e22-J7ESx-FvI-a3zgCfn"
"[11.64351, 107.04603]",57.02,"KMH",1.44,0,2023-01-03 18:16:30,"CEL","LUX","ObjectEvent","OBSERVE","jeHAymA1K3uXDN1NtZ40e"
"[11.6003, 106.99513]",48.33,"KMH",1.98,0,2023-01-03 18:30:00,"CEL","LUX","ObjectEvent","OBSERVE","gY9Ay5VWa81X5iZjb2IrG"
"[11.5492, 106.92901]",54.54,"KMH",1.74,0,2023-01-03 18:43:30,"CEL","LUX","ObjectEvent","OBSERVE","VXiOmA9q6YVhhQcbMbRkm"
"[11.48867, 106.88478]",59.39,"KMH",2.15,0,2023-01-03 18:57:00,"CEL","LUX","ObjectEvent","OBSERVE","MXU9VGb1-2YIAieCB71yA"
"[11.40074, 106.83871]",42.37,"KMH",1.63,0,2023-01-03 19:10:30,"CEL","LUX","ObjectEvent","OBSERVE","2Nq6y97OiHjOabFZjbUWz"
"[11.32845, 106.81931]",24.96,"KMH",4.85,0,2023-01-03 19:24:00,"CEL","LUX","ObjectEvent","OBSERVE","kpi_8PIWJWP2VbIbXz9XT"
"[11.26414, 106.76964]",52.69,"KMH",4.74,0,2023-01-03 19:37:30,"CEL","LUX","ObjectEvent","OBSERVE","fhr3MN6Ev3GglX9Rq07ex"
"[11.16775, 106.73462]",44.97,"KMH",4.35,0,2023-01-03 19:51:00,"CEL","LUX","ObjectEvent","OBSERVE","RfVNrgNu_Tc4JNizER6g2"
"[11.06738, 106.78279]",30.3,"KMH",1.11,0,2023-01-03 20:04:30,"CEL","LUX","ObjectEvent","OBSERVE","4YRB1q_szE3YP3oCdBqsq"
"[10.98992, 106.77191]",67.06,"KMH",0.79,0,2023-01-03 20:18:00,"CEL","LUX","ObjectEvent","OBSERVE","Pnc7xzN_nFvNXYa0nwkk-"
"[10.93927, 106.80689]",43.72,"KMH",2.72,0,2023-01-03 20:31:30,"CEL","LUX","ObjectEvent","OBSERVE","gKo4qkV-XbLEGYo8rphOA"
"[10.8618, 106.91927]",31.77,"KMH",5.67,0,2023-01-03 20:45:00,"CEL","LUX","ObjectEvent","OBSERVE","Ks4bRxY4qSTWZwFYGpPMh"
"[10.90104, 106.85013]",31.68,"KMH",1.91,0,2023-01-03 20:58:30,"CEL","LUX","ObjectEvent","OBSERVE","BnX3l1P60zbuf-l17znFW"
"[10.77847, 106.95701]",33.4,"KMH",0.23,0,2023-01-03 21:12:00,"CEL","LUX","ObjectEvent","OBSERVE","m9BKUG6UxG1B8QaHbg97F"
"[10.69547, 107.0148]",60.95,"KMH",2.11,0,2023-01-03 21:25:30,"CEL","LUX","ObjectEvent","OBSERVE","TljkPeZVMwD9JEwDyeavC"
"[10.5968, 107.05524]",49.61,"KMH",2.35,0,2023-01-03 21:39:00,"CEL","LUX","ObjectEvent","OBSERVE","vYV8mYzXHuQkYMK_G5YzH"
"[10.52441, 107.08377]",60.01,"KMH",1.93,0,2023-01-03 21:52:30,"CEL","LUX","ObjectEvent","OBSERVE","_vp3YyEgg5ytvLmt-KK-c"
"[10.4891, 107.15876]",29.16,"KMH",5.19,0,2023-01-03 22:06:00,"CEL","LUX","ObjectEvent","OBSERVE","tW8PWulo3BVHGh5ZcccCG"
"[10.43143, 107.15827]",20.5,"KMH",5.66,0,2023-01-03 22:19:30,"CEL","LUX","ObjectEvent","OBSERVE","mbumE2L5EsTOjUfGPRkcR"
"[10.39718, 107.11183]",61.78,"KMH",0.28,0,2023-01-03 22:33:00,"CEL","LUX","ObjectEvent","OBSERVE","AHzOGr5JED-CYez0Hzo8X"
"[10.3896, 107.0845]",0,"KMH",5.6,180,2023-01-03 22:46:30,"CEL","LUX","ObjectEvent","OBSERVE","NXk4LafssXRJ_nnCOeNCn"
"[12.67214, 108.06884]",0,"KMH",5.5,200,2023-01-04 14:00:00,"CEL","LUX","ObjectEvent","OBSERVE","155ieLaZMEcx1Gs8ZNuOe"
"[12.65841, 108.03907]",49.42,"KMH",0.87,0,2023-01-04 14:13:30,"CEL","LUX","ObjectEvent","OBSERVE","rYlrF_LMq0LGXMolNRO5P"
"[12.61997, 107.95092]",30.38,"KMH",4.77,0,2023-01-04 14:27:00,"CEL","LUX","ObjectEvent","OBSERVE","ukE_0NBVVZvthq9QO1BiZ"
"[12.58494, 107.87112]",30.22,"KMH",5.98,0,2023-01-04 14:40:30,"CEL","LUX","ObjectEvent","OBSERVE","aSXq2nfzyqKoGOVdyJL6W"
"[12.54409, 107.79773]",28.3,"KMH",5.62,0,2023-01-04 14:54:00,"CEL","LUX","ObjectEvent","OBSERVE","M7Go2EZms-yMx84KRWQgy"
"[12.49071, 107.72369]",53.76,"KMH",3.26,0,2023-01-04 15:07:30,"CEL","LUX","ObjectEvent","OBSERVE","d_gUTg2BTNn6FGkxoQeAy"
"[12.44303, 107.63683]",46,"KMH",3.24,0,2023-01-04 15:21:00,"CEL","LUX","ObjectEvent","OBSERVE","FWWSXnyuZGndh1ya4xlVI"
"[12.35217, 107.56946]",31.96,"KMH",5.75,0,2023-01-04 15:34:30,"CEL","LUX","ObjectEvent","OBSERVE","ectDqTdSvxSNd3VcLOm4U"
"[12.28166, 107.45917]",47.54,"KMH",2.62,0,2023-01-04 15:48:00,"CEL","LUX","ObjectEvent","OBSERVE","OUP3yDLvt7PRE2dokC50i"
"[12.20514, 107.45171]",48.79,"KMH",1.26,0,2023-01-04 16:01:30,"CEL","LUX","ObjectEvent","OBSERVE","421nBBOzuqmAHouMEOjyn"
"[12.1149, 107.47546]",62.9,"KMH",1.75,0,2023-01-04 16:15:00,"CEL","LUX","ObjectEvent","OBSERVE","w83HjG7oxmHauCWVqsyIu"
"[12.02528, 107.49632]",28.26,"KMH",0.76,0,2023-01-04 16:28:30,"CEL","LUX","ObjectEvent","OBSERVE","xqf73O1xe4K6PU0szjQFg"
"[11.94746, 107.46003]",57.2,"KMH",1.06,0,2023-01-04 16:42:00,"CEL","LUX","ObjectEvent","OBSERVE","3PcEwpFqDxbYCVsI8h2H_"
"[11.91148, 107.38259]",68.61,"KMH",0.07,0,2023-01-04 16:55:30,"CEL","LUX","ObjectEvent","OBSERVE","dDHP9k8jb6y05D6L2x1ck"
"[11.8872, 107.32123]",29.46,"KMH",2.81,0,2023-01-04 17:09:00,"CEL","LUX","ObjectEvent","OBSERVE","dU5dJds2JUElkqWYXFLte"
"[11.83688, 107.27339]",65.03,"KMH",5.64,0,2023-01-04 17:22:30,"CEL","LUX","ObjectEvent","OBSERVE","xrMg7YhQGk0bXp8PFBfLz"
"[11.79438, 107.19719]",68.6,"KMH",3.18,0,2023-01-04 17:36:00,"CEL","LUX","ObjectEvent","OBSERVE","9Ul7KaiDWPFgOxiQiLLMF"
"[11.73478, 107.14746]",24.91,"KMH",2.15,0,2023-01-04 17:49:30,"CEL","LUX","ObjectEvent","OBSERVE","nKbiFrf_mjKsjo3KYugaU"
"[11.69556, 107.08901]",35.18,"KMH",0.62,0,2023-01-04 18:03:00,"CEL","LUX","ObjectEvent","OBSERVE","m_H6l38y2SOKP7NBq8brZ"
"[11.64351, 107.04603]",52.77,"KMH",1.4,0,2023-01-04 18:16:30,"CEL","LUX","ObjectEvent","OBSERVE","bSr5Gqj-kKg_VOlZQcE0Q"
"[11.6003, 106.99513]",53.55,"KMH",4.18,0,2023-01-04 18:30:00,"CEL","LUX","ObjectEvent","OBSERVE","QskLHU6S3d8p8-f4w-zEs"
"[11.5492, 106.92901]",26.82,"KMH",3.18,0,2023-01-04 18:43:30,"CEL","LUX","ObjectEvent","OBSERVE","CDbrxd7HaFzx1f7INjWgm"
"[11.48867, 106.88478]",63.03,"KMH",3.6,0,2023-01-04 18:57:00,"CEL","LUX","ObjectEvent","OBSERVE","wXmT6hfLkBVPSjpgxpINv"
"[11.40074, 106.83871]",50.28,"KMH",5.64,0,2023-01-04 19:10:30,"CEL","LUX","ObjectEvent","OBSERVE","qyj6CjuvX_Rqy1TZHruZq"
"[11.32845, 106.81931]",43.34,"KMH",4.35,0,2023-01-04 19:24:00,"CEL","LUX","ObjectEvent","OBSERVE","sw_XV0JHHyoIneMtNpA6V"
"[11.26414, 106.76964]",51.22,"KMH",4.81,0,2023-01-04 19:37:30,"CEL","LUX","ObjectEvent","OBSERVE","Vo3GbZ0ecsFlG3Pz8Sh5K"
"[11.16775, 106.73462]",30.86,"KMH",3.16,0,2023-01-04 19:51:00,"CEL","LUX","ObjectEvent","OBSERVE","l6F3KRdpTYl5dMjQpFC5f"
"[11.06738, 106.78279]",52.51,"KMH",5.52,0,2023-01-04 20:04:30,"CEL","LUX","ObjectEvent","OBSERVE","2__d2QecHbwlVY0eL9umR"
"[10.98992, 106.77191]",27.45,"KMH",1.82,0,2023-01-04 20:18:00,"CEL","LUX","ObjectEvent","OBSERVE","GoM1kzEKOfw2V3btCAZlK"
"[10.93927, 106.80689]",44.22,"KMH",0.79,0,2023-01-04 20:31:30,"CEL","LUX","ObjectEvent","OBSERVE","5Oe9ntblCrUJ5cCcxPb0P"
"[10.8618, 106.91927]",27.2,"KMH",3.77,0,2023-01-04 20:45:00,"CEL","LUX","ObjectEvent","OBSERVE","9Y1870XjDmcRSVtSPwO7F"
"[10.90104, 106.85013]",62.98,"KMH",2.19,0,2023-01-04 20:58:30,"CEL","LUX","ObjectEvent","OBSERVE","ZuahLKyLbhuLAnzyX-4MG"
"[10.77847, 106.95701]",24.63,"KMH",4.36,0,2023-01-04 21:12:00,"CEL","LUX","ObjectEvent","OBSERVE","Gpcy8Trov5wVqe5553gek"
"[10.69547, 107.0148]",36.76,"KMH",0.2,0,2023-01-04 21:25:30,"CEL","LUX","ObjectEvent","OBSERVE","fklbpFIciSTd8jk6xPUHE"
"[10.5968, 107.05524]",57.88,"KMH",1.77,0,2023-01-04 21:39:00,"CEL","LUX","ObjectEvent","OBSERVE","DlEHEiYH-4GdUdgFvyl4C"
"[10.52441, 107.08377]",39.83,"KMH",3.5,0,2023-01-04 21:52:30,"CEL","LUX","ObjectEvent","OBSERVE","tXp1bVtaJ7wycBbNWDvoK"
